HINBAN.CSV
"ïiî‘","çHíˆÉRÅ[Éh","êªïiãÊï™","èîå˚ãÊï™","éÂä«éñã∆èä","ï€ä«èÍèä","HinTanaNo","ïiñºó™èÃ","ïiñº","ïiñºÅi∂≈Åj","ïiñ⁄ÇP","ïiñ⁄ÇQ","è¡îÔê≈ïiñ⁄","åüç∏ïiñ⁄","íPà ÉRÅ[Éh","ì¸ÇËêî","ç´ïÔâ◊épÅiäOëïÅj","ç´ïÔâ◊épÅiì‡ëïÅj","ç´ïÔíPà ÅiäOëïÅj","ç´ïÔíPà Åiì‡ëïÅj","ê∂éYåvâÊóvî€ãÊï™","ç›å…åvè„ãÊï™","î≠íçì_ä«óùãÊï™","ÉLÉbÉgèoå…ãÊï™","î≠íçì_ç›å…êî","äÓèÄÅiïWèÄÅjç›å…êî","ÉXÉNÉâÉbÉvïiî‘","ÉXÉNÉâÉbÉvçHíˆÉRÅ[Éh","ÇjÇdÇxÅ|ÇmÇn","ç≈êVì¸å…ì˙","ç≈êVèoå…ì˙","îÃîÑó›åvêî","îıçl","ìoò^îNåéì˙","å¥âøåvéZÉtÉâÉO","çﬁéø","çﬁå˙","ïù","í∑Ç≥","óeêœ","î‰èd","íPèd","é©óRì¸óÕóìÇP","é©óRì¸óÕóìÇQ","é©óRì¸óÕóìÇR","é©óRì¸óÕóìÇS","é©óRì¸óÕóìÇT","é©óRì¸óÕóìÇU","é©óRì¸óÕóìÇV","é©óRì¸óÕóìÇW","é©óRì¸óÕóìÇX","é©óRì¸óÕóìÇPÇO","é©óRì¸óÕóìÇPÇP","é©óRì¸óÕóìÇPÇQ","é©óRì¸óÕóìÇPÇR","é©óRì¸óÕóìÇPÇS","é©óRì¸óÕóìÇPÇT","é©óRì¸óÕóìÇPÇU","é©óRì¸óÕóìÇPÇV","é©óRì¸óÕóìÇPÇW","é©óRì¸óÕóìÇPÇX","é©óRì¸óÕóìÇQÇO","íPèdåvéZï˚ñ@ãÊï™","ÉJÉâÅ[","èWñÒïiî‘","èWñÒçHíˆÉRÅ[Éh","¿ﬁ–∞ãÊï™","óLå¯ä˙å¿êîãÊï™","óLå¯ä˙å¿êî","í[êîèàóùãÊï™","è¨êîãÊï™","íIâµèâä˙íl","HinSeibanKBN","HinStateKBN","HinStateDay"
"G-100","","1","","","","","100ágµ∞Ãﬂ›ä ","ÇPÇOÇOágÉIÅ[ÉvÉìä ","","G0","","","","CN","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","40006","","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-1000","","1","","","","","SW-1000","ÇrÇvÅ|ÇPÇOÇOÇO","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","40007","20150410","20150410","1360.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-1000GKT","","1","","","","","√ﬁ›∂Àﬁ∆∞ŸÅÚ1000","ÉfÉìÉJÉrÉjÅ[ÉãÅÚÇPÇOÇOÇO","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","40008","","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-1050-75X","","1","","","","","1050-75X","ÇPÇOÇTÇOÅ|ÇVÇTÇw","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","40009","20190918","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-1140B","","1","","","","","PR1140B","ÇoÇqÇPÇPÇSÇOÇa","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","40010","20200519","20200519","47300.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-1203","","1","","","","","TS1203","ÇsÇrÇPÇQÇOÇR","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","40011","","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-120AL","","1","","","","","SAP120","ÇrÇ`ÇoÇPÇQÇO","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","40012","","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-120TY","","1","","","","","SAP120-TY","ÇrÇ`ÇoÇPÇQÇOÅ|ÇsÇx","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","40013","20140326","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-1302","","1","","","","","√ΩŒﬂ∞Ÿ1302","ÉeÉXÉ|Å[ÉãÇPÇRÇOÇQ","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","41768","20180829","20180926","48400.000000","","20071015","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-1304C","","1","","","","","√ΩŒﬂ∞Ÿ1304C","ÉeÉXÉ|Å[ÉãÇPÇRÇOÇSÇb","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","42682","20200622","20200622","3640.000000","","20180912","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
