,品番,倉庫,ロットNo,在庫,注残
66,S3-FG3000-U,受注残,,,15.0
67,S3-STH350M-U,本社倉庫,21010801H,4.0,
68,S4-AS621B-U,受注残,,,8.0
69,S4-BS421A-U,土気倉庫,20120952T,32.0,
70,S4-BS421A-U,大阪倉庫,20120952T,1.0,
71,S4-BS421A-U,受注残,,,9.0
72,S4-BS421ABLK-4-U,土気倉庫,21020152T,3.0,
73,S4-BS421B-4-U,土気倉庫,20110503H,13.0,
74,S4-BS421B-U,土気倉庫,20110502H,1.0,
75,S4-BS421B-U,土気倉庫,20120801H,27.0,
76,S4-BS421B-U,土気倉庫,20121701H,30.0,
77,S4-BS421B-U,大阪倉庫,20120801H,1.0,
78,S4-BS421B-U,受注残,,,1.0
79,S4-PP553-3A-U,土気倉庫,20102851T,3.0,
80,S4-PP553-3A-U,土気倉庫,20122351T,2.0,
81,S4-PP553-3B-U,土気倉庫,20110903H,1.0,
82,S4-UR800A-U,土気倉庫,20121503H,4.0,
83,S4-UR800B-U,土気倉庫,20121405H,5.0,
84,S5-RT160HNV-T,土気倉庫,20091851T,5.0,
85,S5-RT160HNV-T,土気倉庫,21021151T,30.0,
86,S5-RT160HNV-T,受注残,,,3.0
87,S5-RT160HNVBL125-4-T,土気倉庫,21030151T,20.0,
88,S5-RT160HNVBL125-4-T,受注残,,,20.0
89,S5-RT240R-T,土気倉庫,21021753T,2.0,
90,S5-RT35M-T,本社倉庫,21011902H,7.0,
91,S5-RT4002-T,本社倉庫,21022503H,6.0,
92,S5-RT4002-T,受注残,,,6.0
93,S5-RT45-T,土気倉庫,21021652T,101.0,
94,S5-RT45-T,大阪倉庫,20101951T,9.0,
95,S5-RT45-T,受注残,,,15.0
96,S5-RT48-T,土気倉庫,21012952T,68.0,
97,S5-RT48-T,大阪倉庫,20120451T,5.0,
98,S6-KNB01-U,本社倉庫,20082501H,5.0,
99,S6-KV38-U,土気倉庫,21011853T,21.0,
100,S6-KV38-U,土気倉庫,21011856T52,20.0,
101,S6-KV38-U,受注残,,,30.0
102,S6-MB20K2-U,土気倉庫,21011352T,19.0,
103,S6-MB20K2-U,受注残,,,13.0
104,S6-RTS04-U,受注残,,,120.0
105,S6-SV3800-U,土気倉庫,20111251T,7.0,
106,S6-SV3800-U,土気倉庫,21011852T,20.0,
107,S6-SV3800-U,受注残,,,18.0
108,S6-SV3800L-U,土気倉庫,21011251T,12.0,
109,S6-SV3800L-U,受注残,,,3.0
110,S6-SV3800LHR-U,土気倉庫,21010751T,4.0,
111,S6-SV3800LHR-U,土気倉庫,21022252T,120.0,
112,S6-SV3800LHR-U,受注残,,,1.0
113,S6-SV450036-U,土気倉庫,21012903H,3.0,
114,S6-UV2300L-U,土気倉庫,21021251T,49.0,
115,S6-UV2300L-U,受注残,,,30.0
116,S6-UV23R-U,本社倉庫,21012901H,5.0,
117,S6-UV23TNK,本社倉庫,20122206H,1.0,
118,S6-UV23TNK,本社倉庫,21012902H,6.0,
119,S6-UV253-U,本社倉庫,21022307H,4.0,
120,S6-UV253-U,受注残,,,4.0
121,S6-UV270M-U,土気倉庫,21011551T,44.0,
122,S6-UV270V-U,大阪倉庫,20111982T,7.0,
123,S6-UV270V-U,大阪倉庫,20121481T,10.0,
124,S6-UV355-U,土気倉庫,21012054T03,1.0,
125,S6-UV355-U,受注残,,,1.0
126,S6-UV361-U,土気倉庫,21011881T,5.0,
127,S6-UV361-U,大阪倉庫,20120754T,3.0,
128,S6-UV361-U,大阪倉庫,20120781T,3.0,
129,S6-UV361-U,大阪倉庫,21011881T,5.0,
130,S6-UV382-T,土気倉庫,21021153T,20.0,
131,S6-UV382-T,大阪倉庫,20111781T,10.0,
132,S6-UV382-T,大阪倉庫,21012081T,30.0,
133,S6-UV382-T,受注残,,,3.0
134,S6-UV382V-T,土気倉庫,21021152T,49.0,
135,S6-UV382V-T,受注残,,,30.0
136,S6-UV38BS-U,受注残,,,10.0
137,S6-UV422-U,受注残,,,2.0
138,S6-UV435-U,大阪倉庫,20090381T,3.0,
139,S6-UV542-U,土気倉庫,21011452T,14.0,
140,S6-UV542-U,受注残,,,22.0
141,S6-UV542BB-U,土気倉庫,21022251T,40.0,
142,S6-UV542BB-U,受注残,,,40.0
