事業所コード,相手先コード１,相手先名称１,郵便番号１,郵便番号２,住所１,ﾄｰﾙ距離,ﾄｰﾙ中継回数,ﾄｰﾙ行く行かない,新潟距離,新潟中継回数,新潟行く行かない,ｹｲﾋﾝ,顧客指定運送屋,輸出向先,得意先コード,納入先コード,西濃距離
492,T3350,有限会社　原田塗装工業所,438,0215,静岡県磐田市小中瀬７１７,350,0,,328,0,,-,無し,,T3350,H098,350
493,T3350,有限会社　真永,421,0212,静岡県焼津市利右衛門２７２０－１,250,0,,270,0,,-,無し,,T3350,H105,300
494,T3350,株式会社　光輝社　焼津製作所,425,0087,静岡県焼津市保福島５６９,250,0,,270,0,,-,新潟,,T3350,H145,300
495,T3360,二葉産業株式会社,463,0808,愛知県名古屋市守山区花咲台２－５０１,450,0,,435,0,,-,無し,,T3360,,450
496,T3360,白金鍍金工業株式会社,463,0808,愛知県名古屋市守山区花咲台２－１００１,450,0,,435,0,,-,無し,,T3360,H106,450
497,T3370,株式会社　アイ・ライティング・システム,365,0001,埼玉県鴻巣市赤城台２１２－１０,50,0,,119,0,,-,無し,,T3370,,100
498,T3380,市光工業株式会社　伊勢原製造所,259,1192,神奈川県伊勢原市板戸８０,150,0,,107,0,,-,新潟,,T3380,,150
499,T3381,市光工業株式会社　藤岡製造所,375,8507,群馬県藤岡市東平井１４６７,200,1,,186,1,,-,新潟,,T3381,,150
500,T3390,双日プラネット株式会社,107,8655,東京都港区赤坂２－１４－２７,50,0,,52,0,,-,無し,,T3390,,100
501,T3390,株式会社スカイパッキング,289,2231,千葉県香取郡多古町飯笹字蛭ヶ谷３６－５,50,0,,112,1,,-,無し,y,T3390,BRS01,50
502,T3400,株式会社表面化工研究所,309,1715,茨城県笠間市湯崎８４５－５,150,1,,215,1,,-,無し,,T3400,,150
503,T3410,横浜化成株式会社,108,8388,東京都港区高輪２－２１－４３,50,0,,52,0,,-,無し,,T3410,,100
504,T3410,オーデリック株式会社　山形工場,999,3701,山形県東根市東根甲５５４４,450,1,,434,0,,-,無し,,T3410,H099,450
505,T3420,株式会社ｎｉｔｔｏｈ,392,0131,長野県諏訪市湖南4529,300,1,,275,0,,-,無し,,T3420,,300
506,T3430,株式会社　小糸製作所　（本社）,108,8711,東京都港区高輪4-8-3,50,0,,52,0,,-,無し,,T3430,,100
507,T3440,九州南部化成株式会社,879,4414,大分県玖珠郡玖珠町大字大隈２１８,1250,1,,1384,2,,-,ﾄｰﾙ,,T3440,,815
508,T3450,有限会社　野口工芸,341,0044,埼玉県三郷市戸ヶ崎３－７５２－３,50,0,,84,0,,-,無し,,T3450,,100
509,T3460,パナソニック電工株式会社,571,8686,大阪府門真市大字門真1048,650,0,,628,0,,-,無し,,T3460,,650
510,T3460,パナソニック電工株式会社,571,8686,大阪府門真市門真1048,650,0,,628,0,,-,無し,,T3460,H118,650
511,T3470,有限会社　稲垣産業,507,0048,岐阜県多治見市池田町８－２０,400,1,,463,1,,-,無し,,T3470,,450
512,T3470,明和工業株式会社,507,0901,岐阜県多治見市笠原町９９３,400,1,,463,1,,-,無し,,T3470,H162,450
513,T3480,岩崎電気株式会社　産業光源課,361,8505,埼玉県行田市壱里山町1-1,100,0,,110,1,,-,無し,,T3480,,150
514,T3490,東洋加工株式会社　美里工場,367,0115,埼玉県児玉郡美里町猪俣１９６４,150,0,,201,1,,-,無し,,T3490,,150
515,T3500,高圧化工株式会社　千葉工場,289,2505,千葉県旭市鎌数１０８１５番地,50,0,,72,0,,-,無し,,T3500,,50
516,T3510,豊通ケミプラス株式会社　東京自動車材料部,108,8202,東京都港区港南２－３－１３,50,0,,52,0,,-,無し,,T3510,,100
517,T3510,協和理化学工業,502,0005,岐阜県岐阜市岩崎６４６,500,0,,473,0,,-,無し,,T3510,H130,500
518,T3510,豊田合成株式会社,492,8540,愛知県稲沢市北島町西の町３０番地,500,0,,472,1,,-,無し,,T3510,H139,500
519,T3510,愛知陸運株式会社,479,0881,愛知県常滑市セントレア3-16-2,450,0,,440,1,,愛知,新潟,y,T3510,KOT01,500
520,T3520,美光産業株式会社,421,1121,静岡県藤枝市岡部町岡部２２０９－１８,300,0,,270,0,,-,無し,,T3520,,300
521,T3530,株式会社　大塚プラスチック工業,370,2324,群馬県富岡市南後箇1804,200,1,,161,0,,-,無し,,T3530,,200
522,T3540,株式会社　京葉真空テクノ,444,3605,愛知県岡崎市中金町字大洞18-9,400,0,,406,0,,-,無し,,T3540,,400
523,T3550,井沢工業株式会社,370,1125,群馬県佐波郡玉村町八幡原２０４８,200,1,,176,1,,-,無し,,T3550,,200
524,T3560,ＣＢＣ株式会社,411,0821,静岡県三島市平田100,200,0,,191,0,,-,無し,,T3560,,200
525,T3570,株式会社　トウ・プラス,368,0056,埼玉県秩父市寺尾３６４９,200,1,,191,1,,-,無し,,T3570,,200
526,T3580,株式会社　友仁エンジニアリング,273,0136,千葉県鎌ヶ谷市佐津間,50,0,,52,0,,-,無し,,T3580,,50
527,T3590,株式会社　エイアイエム　群馬工場,370,0027,群馬県高崎市上滝町２７３－１,200,1,,161,0,,-,無し,,T3590,,200
528,T3600,三和バキューム,123,0851,東京都足立区梅田７－２６－６,50,0,,52,0,,-,無し,,T3600,,100
529,T3610,株式会社　シバックス・デスモ,224,0057,神奈川県横浜市都筑区川和町２５５－３,100,0,,88,0,,-,無し,,T3610,,100
530,T3620,株式会社　サナック,370,1124,群馬県佐波郡玉村町角渕５１３１,200,1,,176,1,,-,無し,,T3620,,200
531,T3630,有限会社　島田工業所　川口工場,334,0074,埼玉県川口市江戸１－１６－４３,50,0,,52,0,,-,無し,,T3630,,100
532,T3640,三光合成株式会社　静岡工場,437,1434,静岡県掛川市下土方３５６０,300,0,,297,0,,-,無し,,T3640,,350
533,T3650,株式会社　板通　埼玉支店,355,0006,埼玉県東松山市市ノ川４８４－１,100,0,,147,1,,-,無し,,T3650,,100
534,T3660,株式会社　シェリー,377,0005,群馬県渋川市有馬１７９１－３,200,1,,201,1,,-,無し,,T3660,,200
535,T3660,株式会社　シェリー,377,0007,群馬県渋川市石原１５５８－１,200,1,,201,1,,-,無し,,T3660,H171,200
536,T3670,ＡＴＥジャパン株式会社,332,0012,埼玉県川口市本町２－６－２５－１０２,50,0,,52,0,,-,無し,y,T3670,,100
537,T3680,玉川電器株式会社,240,0005,神奈川県横浜市保土ヶ谷区神戸町１３４,100,0,,88,0,,-,無し,,T3680,,100
538,T3680,玉川電器株式会社　宮城工場,981,4316,宮城県加美郡加美町月崎字鳥屋ヶ森１－６,450,1,,464,1,,-,新潟,,T3680,H174,500
539,T3690,株式会社　大友製作所,318,0023,茨城県高萩市島名１６４５,200,1,,228,1,,-,無し,,T3690,,200
540,T3690,川添工業株式会社,370,0311,群馬県渋川市村上３０５－１,200,1,,201,1,,-,無し,,T3690,H176,200
541,T3690,オーラ産業株式会社,370,0612,群馬県邑楽郡邑楽町新中野１３０－９,150,1,,159,1,,-,無し,,T3690,H177,150
542,T3700,川添工業　株式会社,377,0311,群馬県渋川市村上３０５－１,200,1,,201,1,,-,無し,,T3700,,200
543,T0060,朝日真空株式会社,426,0002,静岡県藤枝市横内８００－１１,300,0,,270,0,,-,無し,,T0060,H188,300
544,T3710,西東京ケミックス株式会社,192,0033,東京都八王子高倉町２－１,150,0,,104,0,,-,無し,,T3710,,150
545,T3710,舟津産業株式会社,236,0003,神奈川県横浜市金沢区幸浦2-9-12,100,0,,88,0,,横浜,無し,y,T3710,VEN01,100
546,T3720,株式会社　島津製作所,259,1304,神奈川県秦野市堀山下３８０－１,150,0,,107,0,,-,無し,,T3720,,150
547,T3500,株式会社　マスニ,292,0212,千葉県木更津市真理１８４０,50,0,,142,1,,-,無し,,T3500,H189,50
548,T3730,株式会社　プラシーズ,111,0052,東京都台東区柳橋１－２－１２,50,0,,52,0,,-,無し,,T3730,,100
549,T1031,小山化工株式会社,142,0062,東京都品川区小山６－１５－６,50,0,,52,0,,-,無し,,T1031,H190,100
550,T1031,有限会社　満寿矢特殊硝子,230,0011,神奈川県横浜市鶴見区上末吉３－２－１８,100,0,,88,0,,-,無し,,T1031,H191,100
551,,トール東大阪支店止め,581,0852,大阪府八尾市西高安町4-57-1,600,0,,,,-,-,ﾄｰﾙ,,,,650
552,,大阪出張所,581,0844,大阪府八尾市福栄町2-37,600,0,,,,,-,ﾄｰﾙ,,,,650
553,,大阪倉庫,578,0921,大阪府東大阪市水走5-6-23,600,0,,628,0,,大阪,ﾄｰﾙ,,,,650
554,T3740,長瀬産業株式会社　コーティング材料部,103,8355,東京都中央区日本橋小舟町５－１,50,0,,52,0,,-,無し,,T3740,,100
555,T1210,西鉄物流株式会社　梱包センター,289,1689,千葉県山武郡芝山町岩山１４８－１５,50,0,,49,1,,成田,無し,y,T1210,TAD12,50
556,T2880,株式会社　築港　横浜化学品センター,230,0053,神奈川県横浜市鶴見区大黒町９－１５,100,0,,88,0,,横浜,無し,y,T2880,USF03,100
557,T3510,シーガル・セントレア・ターミナル,479,0881,愛知県常滑市セントレア３－１２－２,450,0,,440,1,,愛知,新潟,y,T3510,PKO01,500
558,T1210,株式会社　阪急阪神エクスプレス,289,1601,千葉県山武郡芝山町香山新田６５－３,50,0,,49,1,,成田,無し,y,T1210,INK11,50
559,T0070,株式会社　向陽技研,470,0214,愛知県みよし市明知町八和田山３－３２,450,0,,485,1,,-,無し,,T0070,H192,450
560,T3750,島津産機システムズ株式会社,259,1304,神奈川県秦野市堀山下３８０－１,150,0,,107,0,,-,無し,,T3750,,150
561,T3750,柿原工業株式会社,721,0956,広島県福山市箕沖町９９－１３,900,0,,856,0,,-,無し,,T3750,H193,900
562,T1210,名鉄観光サービス株式会社,479,0881,愛知県常滑市セントレア３丁目１６－６,450,0,,440,1,,愛知,新潟,y,T1210,IDR01,500
563,T3510,豊通物流株式会社,490,1446,愛知県海部郡飛島村東浜1-5-7,500,0,,435,0,,愛知,無し,y,T3510,PKO02,500
564,T3510,名港海運株式会社　空見梱包センター,455,0847,愛知県名古屋市港区空見町１１番地,500,0,,435,0,,愛知,無し,y,T3510,PKO03,450
565,T1039,東京リッチ産業株式会社,334,0061,埼玉県川口市新堀１３２－１１,50,0,,52,0,,-,無し,,T1039,H194,100
