"550","36,330","34,860","33,390","31,920","30,350","28,880","27,410","25,830","24,360","22,890","21,320","20,580","19,850","19,110","18,380","17,640","16,800","16,070","15,330","14,600","13,860","13,130","12,290","11,550","10,820","10,080","9,240","8,300","7,460","6,830"
"500","32,970","31,610","30,240","28,880","27,620","26,250","24,890","23,520","22,160","20,790","19,430","18,800","18,060","17,330","16,700","15,960","15,330","14,700","13,970","13,340","12,600","11,970","11,240","10,500","9,870","9,240","8,300","7,560","6,830","6,200"
"450","29,720","28,460","27,200","26,040","24,780","23,630","22,370","21,110","19,950","18,690","17,540","16,910","16,280","15,650","15,020","14,490","13,860","13,230","12,600","11,970","11,450","10,820","10,190","9,560","9,030","8,400","7,670","6,930","6,200","5,670"
"400","26,250","25,200","24,150","23,100","21,950","20,900","19,850","18,800","17,750","16,590","15,540","15,020","14,490","13,970","13,440","12,920","12,390","11,870","11,240","10,710","10,190","9,660","9,140","8,610","8,090","7,560","6,930","6,300","5,570","5,150"
"350","22,890","21,950","21,000","20,160","19,220","18,270","17,330","16,380","15,440","14,600","13,650","13,130","12,710","12,180","11,760","11,340","10,820","10,400","9,870","9,450","8,930","8,510","8,090","7,560","7,140","6,620","5,990","5,570","4,940","4,620"
"300","19,530","18,800","17,960","17,220","16,380","15,650","14,810","14,070","13,230","12,500","11,660","11,340","10,920","10,500","10,190","9,770","9,350","8,930","8,510","8,190","7,770","7,350","7,040","6,620","6,200","5,780","5,360","4,830","4,410","4,100"
"250","16,280","15,540","14,910","14,280","13,650","13,020","12,390","11,760","11,130","10,400","9,770","9,450","9,140","8,820","8,510","8,190","7,880","7,560","7,250","6,930","6,620","6,200","5,880","5,570","5,250","4,940","4,620","4,200","3,780","3,570"
"200","13,230","12,710","12,180","11,660","11,130","10,610","10,190","9,660","9,140","8,610","8,090","7,770","7,560","7,250","7,040","6,830","6,510","6,300","5,990","5,780","5,460","5,250","5,040","4,620","4,520","4,200","3,890","3,570","3,260","3,050"
"180","12,500","12,080","11,550","11,030","10,610","10,080","9,660","9,140","8,610","8,190","7,670","7,460","7,140","6,930","6,720","6,410","6,200","5,990","5,780","5,460","5,250","4,940","4,730","4,520","4,310","3,990","3,680","3,470","3,150","2,940"
"160","11,130","10,710","10,290","9,870","9,450","9,030","8,610","8,190","7,770","7,350","6,930","6,720","6,510","6,300","5,990","5,780","5,570","5,360","5,150","4,940","4,730","4,520","4,310","4,100","3,890","3,680","3,470","3,150","2,840","2,730"
"140","9,870","9,450","9,140","8,720","8,400","7,980","7,560","7,250","6,830","6,510","6,090","5,880","5,780","5,570","5,360","5,150","5,040","4,830","4,620","4,410","4,310","4,100","3,890","3,680","3,570","3,360","3,150","2,840","2,630","2,520"
"120","8,400","8,090","7,770","7,460","7,140","6,830","6,510","6,200","5,880","5,670","5,360","5,150","4,940","4,830","4,730","4,520","4,410","4,200","4,100","3,890","3,680","3,570","3,470","3,260","3,150","2,940","2,730","2,630","2,420","2,310"
"100","7,140","6,930","6,620","6,410","6,090","5,880","5,570","5,360","5,150","4,830","4,620","4,410","4,310","4,200","4,100","3,890","3,780","3,680","3,570","3,470","3,260","3,150","3,050","2,940","2,730","2,630","2,420","2,310","2,100","2,100"
"80","5,780","5,570","5,360","5,250","5,040","4,830","4,620","4,410","4,200","3,990","3,780","3,680","3,570","3,470","3,470","3,260","3,260","3,150","3,050","2,940","2,840","2,730","2,630","2,520","2,420","2,310","2,100","2,000","1,890","1,790"
"60","4,200","4,100","3,990","3,890","3,680","3,570","3,470","3,360","3,150","3,050","2,940","2,840","2,840","2,730","2,630","2,630","2,520","2,420","2,420","2,310","2,210","2,210","2,100","2,100","2,000","1,890","1,790","1,790","1,680","1,580"
"40","3,470","3,360","3,260","3,150","3,050","2,940","2,840","2,730","2,630","2,520","2,420","2,420","2,310","2,310","2,210","2,210","2,210","2,100","2,100","2,000","2,000","1,890","1,890","1,790","1,790","1,680","1,680","1,580","1,470","1,470"
"30","2,520","2,520","2,420","2,310","2,310","2,210","2,210","2,100","2,100","2,000","2,000","1,890","1,890","1,890","1,790","1,790","1,790","1,680","1,680","1,680","1,580","1,580","1,580","1,580","1,580","1,470","1,470","1,470","1,370","1,370"
"20","2,100","2,100","2,000","2,000","2,000","1,890","1,890","1,790","1,790","1,790","1,680","1,680","1,680","1,580","1,580","1,580","1,580","1,580","1,470","1,470","1,470","1,470","1,470","1,370","1,370","1,370","1,370","1,370","1,260","1,260"
"10","1,470","1,470","1,370","1,370","1,370","1,370","1,370","1,370","1,370","1,260","1,260","1,260","1,260","1,260","1,260","1,260","1,260","1,260","1,260","1,260","1,260","1,260","1,260","1,260","1,160","1,160","1,160","1,160","1,160","1,160"
